Region;Regional_Unit;Museum;Month;Year;Visitors
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;1;2023;285
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;2;2023;1026
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;3;2023;713
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;4;2023;539
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;5;2023;1475
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;6;2023;682
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;7;2023;350
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;8;2023;570
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;9;2023;274
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;10;2023;296
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;11;2023;1052
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;12;2023;471
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;1;2024;248
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;2;2024;768
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;3;2024;750
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;4;2024;1555
