Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total
Αρχαιολογικό Μουσείο Δίου,Κεντρικής Μακεδονίας,Πιερίας,ChIJfUNGAqMFWBMRhCj3t2_jb8I,https://www.google.com/maps/place/?q=place_id:ChIJfUNGAqMFWBMRhCj3t2_jb8I,Archaeological Museum of Dion,"Epar.Od. Katerinis - Limena Litochoriou 910, Dion 601 00, Greece",4.6,3361
Αρχαιολογικό Μουσείο Νικόπολης,Ηπείρου,Πρέβεζας,ChIJZfKTmWo_XBMR2h0YVCv9qrA,https://www.google.com/maps/place/?q=place_id:ChIJZfKTmWo_XBMR2h0YVCv9qrA,Archaeological Museum of Nicopolis,"5ο χλμ Εθνικής Οδού, Ioanninon, Preveza 481 00, Greece",4.7,1326
Μουσείο αρχαιολογικού χώρου Ελεύθερνας,Κρήτης,Ρεθύμνου,ChIJjz5vsk0ImxQR5twhB70mnjY,https://www.google.com/maps/place/?q=place_id:ChIJjz5vsk0ImxQR5twhB70mnjY,Eleutherna Archaeological Museum,"Epar.Od. Aggelianon-Elefthernas 123, Eleftherna 740 52, Greece",4.6,1944
Αρχαιολογικό Μουσείο Ρεθύμνου,Κρήτης,Ρεθύμνου,ChIJEyVxD6F1mxQRJQwO8V86Uk4,https://www.google.com/maps/place/?q=place_id:ChIJEyVxD6F1mxQRJQwO8V86Uk4,Archaeological Museum of Rethymnon,"Αγ. Φραγκίσκου, Rethymno 741 31, Greece",4.4,1061
Αρχαιολογική Συλλογή Μαρώνειας – Αρχοντικό Ταβανιώτη,Ανατολικής Μακεδονίας – Θράκης,Ροδόπης,ChIJ25gx8NFBnhQRhqAZ5DtXsGg,https://www.google.com/maps/place/?q=place_id:ChIJ25gx8NFBnhQRhqAZ5DtXsGg,Archaeological Collection of Monemvasia,"EO Monemvasias Krokeon 2-31, Monemvasia 230 70, Greece",4.8,124
Αρχαιολογικό Μουσείο Κομοτηνής,Ανατολικής Μακεδονίας – Θράκης,Ροδόπης,ChIJ-QTzIaHurRQRPouwhOFu04I,https://www.google.com/maps/place/?q=place_id:ChIJ-QTzIaHurRQRPouwhOFu04I,Archaeological Museum,"Simeonidou 4, A, Komotini 691 32, Greece",4.3,255
Αρχαιολογικό Μουσείο Πυθαγορείου,Βορείου Αιγαίου,Σάμου,ChIJGZdsD_88vBQRXHkLm1ec9ho,https://www.google.com/maps/place/?q=place_id:ChIJGZdsD_88vBQRXHkLm1ec9ho,Archaeological Museum of Pythagoreion,"Samos 831 03, Greece",4.6,951
Αρχαιολογικό Μουσείο Βαθέος Σάμου,Βορείου Αιγαίου,Σάμου,ChIJF7z6EZsXvBQRNs_u0TfatUk,https://www.google.com/maps/place/?q=place_id:ChIJF7z6EZsXvBQRNs_u0TfatUk,Archaeological Museum of Vathy of Samos,"Gimnasiarchou Κatevaini 24, Samos 831 00, Greece",4.5,1037
Αρχαιολογικό Μουσείο Αμφιπόλεως,Κεντρικής Μακεδονίας,Σερρών,ChIJkdeVdI88qRQR54WgXkUM69M,https://www.google.com/maps/place/?q=place_id:ChIJkdeVdI88qRQR54WgXkUM69M,Archaeological Museum of Amphipolis,"Amphipolis 620 41, Greece",4.6,1334
Αρχαιολογική Συλλογή Αταλάντης,Στερεάς Ελλάδας,Φθιώτιδας,ChIJAUxF4oi_oBQREmN835DXSKM,https://www.google.com/maps/place/?q=place_id:ChIJAUxF4oi_oBQREmN835DXSKM,Archaeological Museum of Atalanti,"Velliou 21, Atalanti 352 00, Greece",4.6,154
